model_name,gpu,batch_size,seq_len,mean_ms,std_ms,p50_ms,p95_ms,n_runs,noisy,peak_memory_mb,actual_gpu_name,actual_mem_gb,actual_sm_count,attn_impl,platform,cuda_version,driver_version,torch_version,timestamp
gpt2-small,a10,4,1024,57.02404148101807,0.041621029785912256,57.025535583496094,57.08287811279297,100,False,930.245632,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:35+00:00
gpt2-small,a10,6,32,8.187893781661987,0.056339483924340156,8.173567771911621,8.268799781799316,100,False,315.935744,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:45+00:00
gpt2-small,a10,6,64,8.26778624534607,0.08886217295524364,8.254464149475098,8.342528343200684,100,False,347.327488,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:46+00:00
gpt2-small,a10,6,128,8.404889583587646,0.28568005991894513,8.332287788391113,8.675328254699707,100,False,406.57152,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:48+00:00
gpt2-small,a10,6,256,16.45926467895508,0.026582350346762124,16.458751678466797,16.470016479492188,100,False,528.219136,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:50+00:00
gpt2-small,a10,6,512,35.33812942504883,0.03820094243968991,35.330047607421875,35.38636779785156,100,False,769.115136,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:53+00:00
gpt2-small,a10,6,1024,85.25593643188476,0.07396582136973111,85.2674560546875,85.3544921875,100,False,1252.506624,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:20:59+00:00
gpt2-small,a10,8,32,9.127650556564332,0.6621440442649362,9.051136016845703,10.338303565979004,100,True,326.923776,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:13+00:00
gpt2-small,a10,8,64,8.414801950454711,0.09898645664349826,8.399871826171875,8.49510383605957,100,False,367.2064,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:15+00:00
gpt2-small,a10,8,128,10.724240579605102,0.04385845413117468,10.720255851745605,10.726400375366211,100,False,446.985216,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:17+00:00
gpt2-small,a10,8,256,22.056734676361085,0.02291230289508778,22.054912567138672,22.07027244567871,100,False,607.98464,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:19+00:00
gpt2-small,a10,8,512,45.856973571777345,0.04445297004258085,45.85676956176758,45.916160583496094,100,False,930.245632,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:23+00:00
gpt2-small,a10,8,1024,111.8296694946289,0.13969519841528993,111.857666015625,112.01126098632812,100,False,1575.537664,NVIDIA A10G,23.68,80,eager,modal,13.0,580.95.05,2.11.0+cu130,2026-04-17T21:21:30+00:00
